"Nombre","Puntuacion","Precio","fecha"
"Estival Park","8,0","€ 52","9"
"Palas Pineda","7,8","€ 63","9"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 151","9"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 90","9"
"Mercure Atenea Aventura","8,0","€ 62","9"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","9"
"Medplaya Hotel Calypso","7,7","€ 69","9"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","9"
"Hotel Oasis Park","7,5","€ 53","9"
"Aparthotel SunClub Salou","8,0","€ 63","9"
"Hotel Raval de la Mar","8,2","€ 61","9"
"Ohtels Vil·la Romana","8,2","€ 77","9"
"AC Hotel Tarragona by Marriott","8,4","€ 97","10"
"H10 Imperial Tarraco 4* Sup","8,9","€ 130","10"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","10"
"Tarraco Park Tarragona","7,9","€ 87","10"
"Hotel Lauria","7,7","€ 67","10"
"Astari","8,3","€ 70","10"
"Nuria","8,1","€ 79","10"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 58","10"
"Hotel Canadá","8,0","€ 76","10"
"Hotel Sant Jordi","8,6","€ 68","10"
"Hotel SB Express Tarragona","8,3","€ 81","10"
"Hotel Best Terramarina","8,3","€ 57","10"
"Hotel Mas La Boella","9,1","€ 199","10"
"Estival Park","8,0","€ 52","10"
"Palas Pineda","7,8","€ 63","10"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 181","10"
"Mercure Atenea Aventura","8,0","€ 62","10"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","10"
"Medplaya Hotel Calypso","7,7","€ 69","10"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 143","10"
"Aparthotel SunClub Salou","8,0","€ 63","10"
"Hotel Raval de la Mar","8,2","€ 61","10"
"Ohtels Vil·la Romana","8,2","€ 77","10"
"Hotel Oasis Park","7,5","€ 53","10"
"Golden Avenida Family Suites 4*","8,5","€ 93","10"
"AC Hotel Tarragona by Marriott","8,4","€ 97","11"
"H10 Imperial Tarraco 4* Sup","8,9","€ 139","11"
"Tarraco Park Tarragona","7,9","€ 87","11"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","11"
"Hotel Lauria","7,7","€ 67","11"
"Astari","8,3","€ 70","11"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 58","11"
"Nuria","8,1","€ 79","11"
"Hotel Canadá","8,0","€ 76","11"
"Hotel Sant Jordi","8,6","€ 68","11"
"Hotel SB Express Tarragona","8,3","€ 81","11"
"Hotel Best Terramarina","8,3","€ 57","11"
"Hotel Mas La Boella","9,1","€ 199","11"
"Estival Park","8,0","€ 52","11"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","11"
"Palas Pineda","7,8","€ 63","11"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 146","11"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","11"
"Mercure Atenea Aventura","8,0","€ 62","11"
"Medplaya Hotel Calypso","7,7","€ 69","11"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","11"
"Hotel Oasis Park","7,5","€ 53","11"
"Hotel Raval de la Mar","8,2","€ 61","11"
"Ohtels Vil·la Romana","8,2","€ 77","11"
"Aparthotel SunClub Salou","8,0","€ 73","11"
"AC Hotel Tarragona by Marriott","8,4","€ 97","12"
"H10 Imperial Tarraco 4* Sup","8,9","€ 109","12"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","12"
"Tarraco Park Tarragona","7,9","€ 87","12"
"Hotel Lauria","7,7","€ 67","12"
"Astari","8,3","€ 70","12"
"Nuria","8,1","€ 79","12"
